"Request(s) deleted successfully.","Request(s) deleted successfully."
"Please complete the configuration.","Please complete the configuration."
"Status changed successfully.","Status changed successfully."
"All Requests","All Requests"
"This Email Id is already registered for this product.","This Email Id is already registered for this product."
"Please ask admin to complete the details.","Please ask admin to complete the details."
"Thank You! We will notify you when the product(s) will be in-stock!.","Thank You! We will notify you when the product(s) will be in-stock!."
"Email not sent.","Email not sent."
Yes,Yes
No,No
Auto,Auto
Manual,Manual
"ALL Customers","ALL Customers"
Subscribers,Subscribers
Approved,Approved
Disapproved,Disapproved
"Enter Your Email Id","Enter Your Email Id"
"Notify Me","Notify Me"
"Please enter a valid email","Please enter a valid email"
"No email found","No email found"
"Get Notified When Other Options (%1) Are Available !!","Get Notified When Other Options (%1) Are Available !!"
"Get Notified When Product Is In stock !!","Get Notified When Product Is In stock !!"
"New Request : Out of stock notification","New Request : Out of stock notification"
" has requested out of stock notification for"," has requested out of stock notification for"
". Please Notify",". Please Notify"
"as soon as the product becomes In stock.","as soon as the product becomes In stock."
"Thanks and Regards","Thanks and Regards"
"Product Low Stock","Product Low Stock"
Hello,Hello
"We have only","We have only"
"left in stock.","left in stock."
"So hurry up! before it goes out of stock.","So hurry up! before it goes out of stock."
Thanks,Thanks
"Product Status : Instock","Product Status : Instock"
"The Product","The Product"
"has arrived in stock now.""","has arrived in stock now."""
"So hurry up! before it goes out of stock again.","So hurry up! before it goes out of stock again."
"Registered for product notification","Registered for product notification"
"You have successfully registered for the product","You have successfully registered for the product"
"We will notify you as soon as we have this product in stock.","We will notify you as soon as we have this product in stock."
Attention,Attention
Webkul,Webkul
"Out Of Stock Notification","Out Of Stock Notification"
"Enable Out Of Stock Notifications","Enable Out Of Stock Notifications"
"Enable Module on Frontend","Enable Module on Frontend"
"General Settings","General Settings"
"Admin Email-id","Admin Email-id"
"Admin Name","Admin Name"
"Select Notification Method","Select Notification Method"
"Low Stock Notification Settings","Low Stock Notification Settings"
"Enable Low Stock Notification","Enable Low Stock Notification"
"Low Stock Quantity","Low Stock Quantity"
"Select Receivers","Select Receivers"
"Select Low Stock Notification Template","Select Low Stock Notification Template"
"Out of stock notification Email Settings","Out of stock notification Email Settings"
"Receive Email on new request","Receive Email on new request"
"Select Admin Notification Template","Select Admin Notification Template"
"Notify customer about new request","Notify customer about new request"
"Select Customer Notification Template","Select Customer Notification Template"
"Select Product Instock Notification Template","Select Product Instock Notification Template"
"Send Notification","Send Notification"
"Delete Request","Delete Request"
ID,ID
"Product Name","Product Name"
"Customer Email","Customer Email"
Status,Status
